Backgrounds, " "
Signed up, "Students who initially registered interest."
Applied, "Students who formally applied for exchanges."
Accepted, "Students who are provincially selected."
Approved, "Students who were fully confirmed for exchange."
Realized, "Students who have begun their exchange."
Finished, " "
Completed, " "
Gender, " "
Funding, " "
Length of Exchange, " "
Motivation, " "
Number of Destinations, " "
English Proficiency, " "
Prior International Experience, " "
SFU Campus, " "
Co-op Participation, " "